"","brand","p-value-LRhist","p-value-LRcomp","Coef Price","Sd Price","RsqLinear","RsqHist","RsqComp","format","category","modeldecision"
"1","ICA",0.2833,0.9767,-0.866513672043085,0.433248785475375,0.4506,0.4596,0.4513,"hypermarket","Bottled water","linearity"
"2","Loka",0.2393,0.2798,-0.548551741234578,0.139046076137332,0.4732,0.483,0.4863,"hypermarket","Bottled water","linearity"
"3","Ramlösa",0.6738,0.2354,-1.07384137804808,0.25874294787567,0.5296,0.532,0.5425,"hypermarket","Bottled water","linearity"
"4","ICA",0.1295,0,-0.347784126224437,0.176567460593025,0.359,0.376,0.4952,"supermarket","Bottled water","compgap"
"5","Loka",0,0.0064,-0.319273269975609,0.114649454475897,0.3043,0.4368,0.3584,"supermarket","Bottled water","fullmodel"
"6","Ramlösa",0.0931,0.0437,-1.10256745828872,0.241425297005828,0.5797,0.5927,0.6016,"supermarket","Bottled water","fullmodel"
"7","ICA",0.1076,0.8189,-0.728218126566918,0.147750921997448,0.6283,0.639,0.6306,"convenience","Bottled water","linearity"
"8","Loka",0.2544,0.5779,-0.856242770907465,0.288928923741376,0.4665,0.476,0.4734,"convenience","Bottled water","linearity"
"9","Ramlösa",0.5225,0.5702,-0.305543110251654,0.474370801162888,0.3773,0.3826,0.3855,"convenience","Bottled water","linearity"
"10","Becel",0.3711,0.22,-1.46371908861562,0.172258757726224,0.6707,0.675,0.6802,"hypermarket","Butter","linearity"
"11","Valio",0.0015,0.5936,-4.0770710361616,0.557137938356466,0.6519,0.6804,0.6562,"hypermarket","Butter","histgap"
"12","Kronjäst",0.0114,0.3345,-2.08136771416529,0.0732825091558847,0.8936,0.8997,0.896,"hypermarket","Butter","histgap"
"13","ICA",0.0011,0.452,0.874853956467895,0.222429393686864,0.5267,0.5671,0.5349,"hypermarket","Butter","histgap"
"14","Bregott",0.1918,0.3071,-1.57455228022926,0.442977664398005,0.5582,0.5677,0.5685,"hypermarket","Butter","linearity"
"15","Milda",0.5185,0.913,-3.16597903188669,0.208049483025717,0.7846,0.7865,0.7854,"hypermarket","Butter","linearity"
"16","Flora",0.1644,0.2248,-3.22069494258254,0.329354091316255,0.6179,0.6269,0.6287,"hypermarket","Butter","linearity"
"17","Svenskt smör",0.3472,0.0078,-1.14855774782082,0.541584588523886,0.6088,0.6142,0.6382,"hypermarket","Butter","compgap"
"18","Becel",0.0906,0.0438,-1.30631356184258,0.197747188541813,0.5945,0.6071,0.6156,"supermarket","Butter","fullmodel"
"19","Svenskt smör",0.4487,0.1869,-2.03245352885465,0.402138746205186,0.5963,0.6006,0.6089,"supermarket","Butter","linearity"
"20","Kronjäst",0.2459,0.4599,-1.47255577288316,0.10809164519789,0.7152,0.7204,0.72,"supermarket","Butter","linearity"
"21","ICA",0.0029,0.1341,1.30039814392168,0.259100263266779,0.5311,0.5658,0.548,"supermarket","Butter","histgap"
"22","Bregott",0.0689,0.7086,-1.43063005976101,0.310858760035358,0.5234,0.5399,0.5278,"supermarket","Butter","histgap"
"23","Lätta",0,0.0208,-0.289433827387087,0.799655245070069,0.5716,0.6272,0.5982,"supermarket","Butter","fullmodel"
"24","Flora",0.421,0.845,-2.33099035209707,0.497945853015582,0.3925,0.3994,0.3958,"supermarket","Butter","linearity"
"25","Milda",0.7933,0.0142,-2.89081275140505,0.197391117570663,0.733,0.7338,0.7509,"supermarket","Butter","compgap"
"26","Becel",0.0023,0.0629,0.491254349591405,0.305186386371443,0.5489,0.5835,0.5701,"convenience","Butter","fullmodel"
"27","Bregott",0.1296,0.1829,-1.2282297055538,0.278769909479379,0.4706,0.4847,0.4872,"convenience","Butter","linearity"
"28","Milda",0.0245,0.0574,-2.06962023962819,0.320359012325873,0.5997,0.6187,0.619,"convenience","Butter","fullmodel"
"29","Svenskt smör",0.0485,0.1333,0.415676290974897,0.550362402969109,0.5393,0.5573,0.5559,"convenience","Butter","histgap"
"30","ICA",0.1423,0.1067,0.816516122850934,0.283655493179072,0.4543,0.4681,0.4758,"convenience","Butter","linearity"
"31","Kronjäst",0.0271,0.1065,-0.848608900403293,0.743494403273271,0.3604,0.3901,0.3856,"convenience","Butter","histgap"
"32","Estrella",0.4032,0.4071,-2.30445420787801,0.163827895782368,0.7285,0.7318,0.7337,"hypermarket","Chips & Salty snacks","linearity"
"33","ICA",0.688,0.4177,-1.4365434395644,0.158717914168163,0.6556,0.6573,0.662,"hypermarket","Chips & Salty snacks","linearity"
"34","Olw",0.5887,0.5081,-2.09510805941698,0.152740585514656,0.7017,0.7038,0.7063,"hypermarket","Chips & Salty snacks","linearity"
"35","Pringles",0.1127,0.5144,-1.46186563166508,0.531480685915582,0.3833,0.4007,0.3925,"hypermarket","Chips & Salty snacks","linearity"
"36","ICA Basic",0.0704,0.7491,0.524129150988489,0.168730977226322,0.5398,0.5556,0.5434,"hypermarket","Chips & Salty snacks","histgap"
"37","LantChips",0.8297,0.6915,-4.42001122264032,0.623890065000932,0.4822,0.4835,0.4871,"hypermarket","Chips & Salty snacks","linearity"
"38","Estrella",0.0935,0.495,-1.01720335920688,0.4290539000435,0.2824,0.3044,0.2936,"supermarket","Chips & Salty snacks","histgap"
"39","ICA",0.6158,0.3408,-0.93744806946924,0.205303759418975,0.5245,0.5275,0.5348,"supermarket","Chips & Salty snacks","linearity"
"40","Olw",0.1466,0.1761,-1.41925785407509,0.30949664200559,0.4472,0.461,0.4648,"supermarket","Chips & Salty snacks","linearity"
"41","Pringles",0.3046,0.2038,-1.467912917086,0.740980941129329,0.3971,0.4064,0.415,"supermarket","Chips & Salty snacks","linearity"
"42","Estrella",0.2665,0.3246,-0.961992114287432,0.394882500172623,0.3573,0.3683,0.3718,"convenience","Chips & Salty snacks","linearity"
"43","ICA",0.5498,0.3973,-0.789634461294649,0.263703188221435,0.4664,0.4706,0.4767,"convenience","Chips & Salty snacks","linearity"
"44","Olw",0.0575,0.1296,-1.41946584133067,0.195100717093328,0.5704,0.5862,0.5861,"convenience","Chips & Salty snacks","histgap"
"45","Cloetta",0.0065,0.0118,-3.2851138707861,0.378843499522464,0.567,0.5948,0.5972,"hypermarket","Chocolate","fullmodel"
"46","Fazer",0.2702,0.0862,-2.99458831312888,0.236562201325534,0.729,0.7337,0.7405,"hypermarket","Chocolate","compgap"
"47","Oboy",0.0706,0.9853,0.354647035610677,0.322680077725599,0.5003,0.5174,0.5008,"hypermarket","Chocolate","histgap"
"48","Lindt",0.6172,0.8569,-3.95742870238834,0.190227010265684,0.8307,0.8318,0.8315,"hypermarket","Chocolate","linearity"
"49","Marabou",0.1729,0.0014,-2.02537709100666,0.134940726303363,0.7395,0.7455,0.7649,"hypermarket","Chocolate","compgap"
"50","Cloetta",0.753,0.7704,-2.33052763519549,0.319864432236017,0.516,0.5178,0.5196,"supermarket","Chocolate","linearity"
"51","Fazer",0.2655,0.3945,-2.1197983702056,0.24816938986769,0.6207,0.6273,0.6281,"supermarket","Chocolate","linearity"
"52","Oboy",0.0044,0.3636,0.907903899969926,0.386337102177003,0.4074,0.4482,0.4197,"supermarket","Chocolate","histgap"
"53","Lindt",0.3821,8e-04,-2.67768873771783,0.174535346679054,0.7527,0.7558,0.7785,"supermarket","Chocolate","compgap"
"54","Marabou",3e-04,0.0376,-2.49043094168868,0.203042673352156,0.7042,0.7339,0.7202,"supermarket","Chocolate","fullmodel"
"55","Cloetta",0.3212,0.2561,-1.23271767828636,0.383662977300197,0.476,0.4838,0.4898,"convenience","Chocolate","linearity"
"56","Fazer",0.1604,0.0528,-1.45304978114103,0.40545912852184,0.4639,0.4766,0.4903,"convenience","Chocolate","compgap"
"57","Marabou",0.1958,0.1372,-3.08266081076674,0.29420977314575,0.6612,0.6684,0.6733,"convenience","Chocolate","linearity"
"58","Arla Ko",0.7385,0.721,-2.5753085576359,0.36277876748941,0.4377,0.4399,0.4426,"hypermarket","Yogurt","linearity"
"59","Valio",0.0228,0.9799,-3.3205640987849,0.227449125463554,0.7911,0.8012,0.7913,"hypermarket","Yogurt","histgap"
"60","ICA",0.0627,0.7855,1.08321005935273,0.3713057448154,0.5174,0.5347,0.5208,"hypermarket","Yogurt","histgap"
"61","Verum",0.091,0.1676,-1.88404787876797,0.319826056838231,0.5119,0.527,0.5279,"hypermarket","Yogurt","histgap"
"62","Yoggi",0.0018,0.5272,-3.23340791994967,0.138221706746652,0.8891,0.898,0.8908,"hypermarket","Yogurt","histgap"
"63","Danonino",0,0.9768,-1.8570135458424,0.383499675012812,0.4701,0.5788,0.4709,"hypermarket","Yogurt","histgap"
"64","Skånemejerier",0.0247,0.568,-2.79125279993419,0.583227799222177,0.3996,0.4282,0.4076,"hypermarket","Yogurt","histgap"
"65","Yoplait",0.2228,0.2088,-1.58748088164473,0.327144556323964,0.4262,0.4374,0.4431,"hypermarket","Yogurt","linearity"
"66","Gefleortens",0.205,0.4293,-0.25146481757295,0.391155454464589,0.593,0.6014,0.6004,"hypermarket","Yogurt","linearity"
"67","Fjällfil",0.869,0.1979,-1.50594055966457,0.339665852000333,0.53,0.5308,0.5442,"hypermarket","Yogurt","linearity"
"68","Tiger",0.4264,0.8478,-1.02082585154761,0.356038767455964,0.3912,0.398,0.3944,"hypermarket","Yogurt","linearity"
"69","Activia",0.1241,0.1466,-1.89769867291282,0.329175405083485,0.4461,0.4611,0.4653,"supermarket","Yogurt","linearity"
"70","Yoggi",0.0014,0.986,-3.80858923589893,0.290747515389607,0.7015,0.7262,0.7017,"supermarket","Yogurt","histgap"
"71","ICA",0.2605,0.5556,-2.39718750579881,0.373782667653473,0.4755,0.4847,0.4827,"supermarket","Yogurt","linearity"
"72","Yoplait",0.0062,0.8828,0.733858592246474,0.405843216894556,0.4394,0.4756,0.4419,"supermarket","Yogurt","histgap"
"73","Fjällfil",0.0391,0.5018,-1.63185467539674,0.512312490354237,0.5091,0.5296,0.5167,"supermarket","Yogurt","histgap"
"74","Arla Ko",0.645,0.8361,-1.90404823452715,0.350720675046394,0.4004,0.4038,0.4037,"supermarket","Yogurt","linearity"
"75","Valio",0.038,0.0661,-3.91704206550742,0.336291242322788,0.7463,0.757,0.758,"supermarket","Yogurt","fullmodel"
"76","Falköpings Mejeri",0.0013,0.1388,-1.30034966460008,0.633838743961797,0.3722,0.4247,0.3945,"supermarket","Yogurt","histgap"
"77","Verum",0.5575,0.3595,-2.14177235592929,0.450800222714477,0.4182,0.4227,0.4304,"supermarket","Yogurt","linearity"
"78","Arla Ko",0.6863,0.1134,-2.76986148936356,0.413406809272448,0.482,0.4845,0.5019,"convenience","Yogurt","linearity"
"79","ICA",0.7343,0.9448,-2.97417775173143,0.418058604154135,0.5405,0.5424,0.5416,"convenience","Yogurt","linearity"
"80","Yoggi",0.0796,0.4093,-1.36829315545714,0.751518836810391,0.4224,0.4413,0.4333,"convenience","Yogurt","histgap"
"81","Valio",0.6192,0.4019,-1.78286267861692,0.43556828173028,0.4495,0.453,0.4601,"convenience","Yogurt","linearity"
"82","Verum",0.9169,0.2227,-1.29664324396531,0.836694012721729,0.4842,0.4848,0.4989,"convenience","Yogurt","linearity"
